player_name,nic_year,pro_pos,school,Actual_GM,Correct,top1_class,top1_prob,top2_class,top2_prob,top3_class,top3_prob,top4_class,top4_prob,top5_class,top5_prob
Pierre Strong Jr.,2022,RB,South Dakota State,NE_Bill Belichick,0,SF_John Lynch,0.044151418,CIN_Mike Brown,0.03388324,DEN_George Paton,0.03226485,DAL_Jerry Jones,0.032026645,CAR_Scott Fitterer,0.028362295
Terrell Suggs,2003,ED,Arizona State,BAL_Ozzie Newsome,0,BAL_Eric DeCosta,0.044129968,ATL_Terry Fontenot,0.036874853,PHI_Howie Roseman,0.029282121,HOU_Nick Caserio,0.029278126,NYG_Joe Schoen,0.025919901
Daniel Te'o-Nesheim,2010,ED,Washington,PHI_Andy Reid,0,IND_Chris Ballard,0.044124015,LA_Les Snead,0.040474962,PHI_Howie Roseman,0.031707134,PIT_Omar Khan,0.029762316,CIN_Mike Brown,0.026581574
Xavier Cooper,2015,DT,Washington State,CLE_Ray Farmer,0,LA_Les Snead,0.044116836,PHI_Howie Roseman,0.0356889,CIN_Mike Brown,0.03348856,SEA_John Schneider,0.032717813,TB_Jason Licht,0.028824892
Rashad Carmichael,2011,CB,Virginia Tech,HOU_Rick Smith,0,SF_John Lynch,0.044110026,LA_Les Snead,0.03860179,BUF_Brandon Beane,0.03171396,MIA_Chris Grier,0.029175622,CIN_Mike Brown,0.02513026
Austin Collie,2009,WR,Brigham Young,IND_Chris Polian,0,LA_Les Snead,0.04410866,BUF_Brandon Beane,0.031806152,BAL_Eric DeCosta,0.028345708,DAL_Jerry Jones,0.026942391,CIN_Mike Brown,0.026515454
Justin Reid,2018,S,Stanford,HOU_Brian Gaine,0,CIN_Mike Brown,0.044096515,KC_Brett Veach,0.03735768,PHI_Howie Roseman,0.032530073,PIT_Omar Khan,0.022978095,MIA_Chris Grier,0.021417487
Siran Neal,2018,S,Jacksonville State,BUF_Brandon Beane,0,WAS_Adam Peters,0.044083007,NO_Mickey Loomis,0.04051886,IND_Chris Ballard,0.039166056,CIN_Mike Brown,0.038044617,BUF_Brandon Beane,0.029515553
Sharrif Floyd,2013,DT,Florida,MIN_Rick Spielman,0,GB_Brian Gutekunst,0.044076264,SEA_John Schneider,0.035687104,MIA_Chris Grier,0.021290567,PHI_Howie Roseman,0.018215656,BAL_Eric DeCosta,0.018014539
Derrick Martin,2006,S,Wyoming,BAL_Ozzie Newsome,0,CIN_Mike Brown,0.04405564,IND_Chris Ballard,0.043358706,TB_Jason Licht,0.033478595,NYG_Joe Schoen,0.029565059,JAX_Trent Baalke,0.027343256
